locationID,name,chepChannel,type1,type2,address,country,state,city,zipcode,chepStatus,chepCompanyCode,chepAffiliation,chepSubAffiliation,chepServiceType,latitude,longitude,custom1,custom2,custom3,custom4,custom5
USJG,CHEP - Sharon Springs,SC,,One Way Trip,721 Highway Route 20,US,NY,Sharon Springs,13459,ACTIVE,US10,SVC,TPM,SERVICE CENTER,42.789043,-74.601517,,,SERVICE CENTER,,
USJH,CHEP - Shelby,SC,,One Way Trip,230 Walmart Drive,US,NC,Shelby,28150,ACTIVE,US10,SVC,TPM,SERVICE CENTER,35.3115939,-81.5776918,,,SERVICE CENTER,,
USJI,CHEP - Smyrna,SC,,One Way Trip,100 Walton Way,US,DE,Smyrna,19977,ACTIVE,US10,SVC,TPM,SERVICE CENTER,39.2845609,-75.620461,,,SERVICE CENTER,,
USJJ,CHEP - Tobyhanna,SC,,One Way Trip,100 Veterans Drive,US,PA,Tobyhanna,18466,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.1658873,-75.4050896,,,SERVICE CENTER,,
USJK,CHEP - Washington Courthouse,SC,,One Way Trip,"1400 Old Chilicothe Road, Se",US,OH,Washington Court House,43160,ACTIVE,US10,SVC,TPM,SERVICE CENTER,39.519751,-83.3991061,,,SERVICE CENTER,,
USJL,CHEP - Wintersville,SC,,One Way Trip,843 State Route 43,US,OH,Wintersville,43952,ACTIVE,US10,SVC,TPM,SERVICE CENTER,40.4041426,-80.7158125,,,SERVICE CENTER,,
USJM,CHEP - Woodland,SC,,One Way Trip,100 Walmart Drive,US,PA,Woodland,16881,ACTIVE,US10,SVC,TPM,SERVICE CENTER,41.004909,-78.363544,,,SERVICE CENTER,,
USOY,CHEP Innovation Center - Orlando,SC,,One Way Trip,"7315 Kingspointe Parkway, #300",US,FL,Orlando,32819,ACTIVE,US10,SVC,SC,SERVICE CENTER,28.461497,-81.439549,,,SERVICE CENTER,,
US75,CHEP Service Center - Apple Valley,SC,,One Way Trip,21101 Johnson Road,US,CA,Apple Valley,92307,ACTIVE,US10,SVC,TPM,SERVICE CENTER,34.597344,-117.197589,,,SERVICE CENTER,,
USQI,CHEP Service Center - Arlington,SC,,One Way Trip,"17117 59th Avenue, Ne",US,WA,Arlington,98223,ACTIVE,US10,SVC,TPM,SERVICE CENTER,48.1511262,-122.1495126,,,SERVICE CENTER,,
US78,CHEP Service Center - Bartlesville,SC,,One Way Trip,397319 West 3000 Road,US,OK,Ochelata,74051,ACTIVE,US10,SVC,TPM,SERVICE CENTER,36.575724,-95.9323047,,,SERVICE CENTER,,
USMB,CHEP Service Center - Bayamon,SC,,One Way Trip,"calle B, Marginal Carretera #5, Bo. Juan Sanchez, Urb. Luchetti",US,PR,Bayamon,956,Not Assignable,US10,SVC,TPM,SERVICE CENTER,18.3691963,-66.1659674,,,SERVICE CENTER,,
USND,CHEP Service Center - Bayamon 2,SC,,One Way Trip,"carretera P.R. 22, Intercecion P.R. 5, Marginal Sur",US,PR,Bayamon,959,Not Assignable,US10,SVC,TPM,SERVICE CENTER,18.3939639,-66.1285854,,,SERVICE CENTER,,
